year,month,day
1961,4,8
1962,4,9
1963,4,6
1964,4,5
1965,4,12
1966,4,5
1967,4,5
1968,4,3
1969,4,10
1970,4,15
1971,4,5
1972,4,1
1973,4,8
1974,4,9
1975,4,6
1976,3,31
1977,3,31
1978,4,9
1979,4,4
1980,4,8
1981,4,8
1982,3,31
1983,4,8
1984,4,17
1985,4,10
1986,4,10
1987,4,5
1988,4,11
1989,4,3
1990,3,26
1991,4,8
1992,4,1
1993,4,2
1994,4,5
1995,4,7
1996,4,7
1997,3,30
1998,3,31
1999,4,2
2000,4,6
2001,3,28
2002,3,21
2003,4,1
2004,3,29
2005,4,6
2006,3,28
2007,3,29
2008,3,27
2009,4,2
2010,4,1
2011,4,6
2012,4,6
2013,3,22
2014,3,30
2015,3,29
2016,3,31
2017,4,2
